"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65"
1892,8.16597,7.59019,7.05735,6.56192,6.10126,5.67295,5.2747,4.90441,4.56011,4.23999,3.94233,3.66558,3.40825,3.16899,2.94652,2.73967,2.54734,2.36852,2.20224,2.04764,1.9039,1.77024,1.64597,1.53042,1.42298,1.32309,1.2302,1.14384,1.06354,0.98888,0.91946,0.854912,0.794897,0.739094,0.687209,0.638966,0.594109,0.552402,0.513623,0.477566,0.44404,0.412868,0.383884,0.356935,0.331878,0.30858,0.286917,0.266775,0.248047,0.230634,0.214443,0.199389,0.185392,0.172377,0.160276,0.149024,0.138562,0.128835,0.119791,0.111381,0.103562,0.0962921,0.0895322,0.083247,0.0774029,1.02518
1893,8.16597,7.59271,7.05735,6.56192,6.10126,5.67295,5.27469,4.9044,4.5601,4.23997,3.94231,3.66556,3.40823,3.16897,2.9465,2.73966,2.54733,2.3685,2.20223,2.04763,1.90389,1.77023,1.64596,1.53041,1.42297,1.32308,1.2302,1.14384,1.06354,0.988875,0.919455,0.854908,0.794892,0.73909,0.687205,0.638962,0.594106,0.552399,0.51362,0.477563,0.444038,0.412866,0.383882,0.356933,0.331876,0.308578,0.286915,0.266774,0.248046,0.230633,0.214442,0.199388,0.185391,0.172376,0.160275,0.149023,0.138562,0.128835,0.11979,0.111381,0.103562,0.0962916,0.0895318,0.0832465,0.0774025,1.02518
1894,8.16596,7.5927,7.05969,6.56192,6.10126,5.67295,5.27469,4.90439,4.56009,4.23995,3.9423,3.66554,3.40821,3.16895,2.94649,2.73964,2.54732,2.36849,2.20222,2.04762,1.90388,1.77022,1.64595,1.5304,1.42297,1.32307,1.23019,1.14383,1.06353,0.98887,0.91945,0.854904,0.794888,0.739086,0.687201,0.638959,0.594103,0.552397,0.513618,0.477561,0.444036,0.412864,0.38388,0.356931,0.331874,0.308576,0.286914,0.266772,0.248044,0.230631,0.214441,0.199387,0.18539,0.172375,0.160274,0.149023,0.138561,0.128834,0.11979,0.11138,0.103561,0.0962911,0.0895313,0.0832461,0.0774021,1.02517
1895,8.16596,7.5927,7.05969,6.56409,6.10126,5.67295,5.27469,4.90439,4.56008,4.23994,3.94228,3.66552,3.4082,3.16894,2.94647,2.73963,2.5473,2.36848,2.20221,2.04761,1.90387,1.77021,1.64594,1.53039,1.42296,1.32306,1.23018,1.14382,1.06353,0.988865,0.919445,0.854899,0.794884,0.739082,0.687198,0.638956,0.5941,0.552394,0.513615,0.477559,0.444033,0.412862,0.383878,0.35693,0.331873,0.308575,0.286912,0.266771,0.248043,0.23063,0.21444,0.199386,0.185389,0.172374,0.160273,0.149022,0.13856,0.128833,0.119789,0.11138,0.103561,0.0962906,0.0895309,0.0832457,0.0774017,1.02517
1896,8.16596,7.5927,7.05968,6.56409,6.10328,5.67295,5.2747,4.9044,4.56009,4.23995,3.94229,3.66552,3.40819,3.16893,2.94647,2.73962,2.5473,2.36848,2.20221,2.04761,1.90386,1.77021,1.64594,1.53039,1.42296,1.32306,1.23018,1.14382,1.06352,0.988864,0.919444,0.854898,0.794883,0.739081,0.687197,0.638955,0.594099,0.552393,0.513614,0.477558,0.444033,0.412861,0.383878,0.356929,0.331872,0.308574,0.286912,0.26677,0.248043,0.23063,0.214439,0.199386,0.185388,0.172374,0.160273,0.149022,0.13856,0.128833,0.119789,0.11138,0.103561,0.0962905,0.0895307,0.0832456,0.0774016,1.02517
1897,8.16596,7.5927,7.05968,6.56409,6.10328,5.67483,5.2747,4.90441,4.5601,4.23997,3.9423,3.66553,3.4082,3.16893,2.94647,2.73962,2.5473,2.36847,2.2022,2.04761,1.90386,1.77021,1.64594,1.53039,1.42296,1.32306,1.23018,1.14382,1.06352,0.988863,0.919444,0.854898,0.794883,0.739081,0.687197,0.638955,0.594099,0.552393,0.513614,0.477558,0.444033,0.412861,0.383878,0.356929,0.331872,0.308574,0.286912,0.26677,0.248043,0.23063,0.214439,0.199385,0.185388,0.172374,0.160273,0.149022,0.13856,0.128833,0.119789,0.111379,0.103561,0.0962904,0.0895307,0.0832455,0.0774016,1.02517
1898,8.16596,7.5927,7.05968,6.56408,6.10328,5.67482,5.27645,4.90441,4.56011,4.23998,3.94232,3.66555,3.40821,3.16894,2.94647,2.73962,2.5473,2.36847,2.2022,2.04761,1.90386,1.77021,1.64594,1.53039,1.42296,1.32306,1.23018,1.14382,1.06352,0.988863,0.919444,0.854898,0.794883,0.739081,0.687197,0.638955,0.594099,0.552393,0.513614,0.477558,0.444032,0.412861,0.383878,0.356929,0.331872,0.308574,0.286912,0.26677,0.248043,0.23063,0.214439,0.199385,0.185388,0.172374,0.160273,0.149022,0.13856,0.128833,0.119789,0.111379,0.10356,0.0962904,0.0895307,0.0832455,0.0774016,1.02517
1899,8.16596,7.5927,7.05968,6.56408,6.10328,5.67482,5.27644,4.90603,4.56011,4.23998,3.94233,3.66556,3.40822,3.16895,2.94647,2.73962,2.5473,2.36847,2.2022,2.04761,1.90386,1.77021,1.64594,1.53039,1.42296,1.32306,1.23018,1.14382,1.06352,0.988863,0.919444,0.854897,0.794883,0.739081,0.687196,0.638954,0.594099,0.552393,0.513614,0.477558,0.444032,0.412861,0.383877,0.356929,0.331872,0.308574,0.286912,0.26677,0.248043,0.23063,0.214439,0.199385,0.185388,0.172374,0.160273,0.149022,0.13856,0.128833,0.119789,0.111379,0.10356,0.0962904,0.0895307,0.0832455,0.0774016,1.02517
1900,8.16597,7.5927,7.05968,6.56408,6.10328,5.67482,5.27644,4.90603,4.56162,4.23998,3.94233,3.66557,3.40823,3.16896,2.94648,2.73963,2.5473,2.36847,2.2022,2.04761,1.90386,1.77021,1.64594,1.53039,1.42295,1.32306,1.23018,1.14382,1.06352,0.988863,0.919443,0.854897,0.794882,0.739081,0.687196,0.638954,0.594099,0.552392,0.513614,0.477557,0.444032,0.412861,0.383877,0.356929,0.331872,0.308574,0.286912,0.26677,0.248043,0.23063,0.214439,0.199385,0.185388,0.172374,0.160273,0.149022,0.13856,0.128833,0.119789,0.111379,0.10356,0.0962903,0.0895306,0.0832455,0.0774015,1.02517
1901,8.16598,7.59271,7.05969,6.56408,6.10328,5.67482,5.27644,4.90603,4.56162,4.24139,3.94233,3.66557,3.40824,3.16897,2.94649,2.73963,2.5473,2.36847,2.2022,2.0476,1.90386,1.77021,1.64594,1.53039,1.42295,1.32306,1.23018,1.14382,1.06352,0.988862,0.919443,0.854897,0.794882,0.73908,0.687196,0.638954,0.594099,0.552392,0.513613,0.477557,0.444032,0.41286,0.383877,0.356929,0.331872,0.308574,0.286912,0.26677,0.248042,0.23063,0.214439,0.199385,0.185388,0.172374,0.160273,0.149021,0.13856,0.128833,0.119789,0.111379,0.10356,0.0962903,0.0895306,0.0832454,0.0774015,1.02516
1902,8.16599,7.59272,7.05969,6.56409,6.10328,5.67482,5.27644,4.90602,4.56162,4.24139,3.94364,3.66557,3.40824,3.16898,2.9465,2.73964,2.54731,2.36848,2.2022,2.0476,1.90386,1.77021,1.64594,1.53039,1.42295,1.32306,1.23018,1.14382,1.06352,0.988862,0.919442,0.854896,0.794882,0.73908,0.687196,0.638954,0.594098,0.552392,0.513613,0.477557,0.444032,0.41286,0.383877,0.356928,0.331871,0.308574,0.286911,0.26677,0.248042,0.230629,0.214439,0.199385,0.185388,0.172374,0.160273,0.149021,0.13856,0.128833,0.119789,0.111379,0.10356,0.0962902,0.0895306,0.0832454,0.0774015,1.02516
1903,8.166,7.59273,7.0597,6.56409,6.10328,5.67482,5.27644,4.90602,4.56161,4.24138,3.94363,3.66679,3.40824,3.16898,2.94651,2.73965,2.54732,2.36848,2.2022,2.0476,1.90386,1.7702,1.64593,1.53039,1.42295,1.32306,1.23018,1.14382,1.06352,0.988861,0.919442,0.854896,0.794881,0.739079,0.687195,0.638953,0.594098,0.552391,0.513613,0.477557,0.444032,0.41286,0.383877,0.356928,0.331871,0.308573,0.286911,0.26677,0.248042,0.230629,0.214439,0.199385,0.185388,0.172373,0.160273,0.149021,0.13856,0.128833,0.119788,0.111379,0.10356,0.0962902,0.0895305,0.0832453,0.0774014,1.02516
1904,8.16601,7.59274,7.05971,6.5641,6.10329,5.67482,5.27644,4.90602,4.56161,4.24138,3.94363,3.66678,3.40937,3.16898,2.94651,2.73966,2.54732,2.36849,2.20221,2.04761,1.90386,1.7702,1.64593,1.53039,1.42295,1.32306,1.23018,1.14382,1.06352,0.98886,0.919441,0.854895,0.79488,0.739079,0.687195,0.638953,0.594097,0.552391,0.513612,0.477556,0.444031,0.41286,0.383876,0.356928,0.331871,0.308573,0.286911,0.26677,0.248042,0.230629,0.214439,0.199385,0.185388,0.172373,0.160272,0.149021,0.13856,0.128833,0.119788,0.111379,0.10356,0.0962901,0.0895304,0.0832453,0.0774014,1.02516
1905,8.16602,7.59275,7.05972,6.56411,6.10329,5.67483,5.27644,4.90603,4.56161,4.24138,3.94363,3.66678,3.40937,3.17002,2.94651,2.73966,2.54733,2.3685,2.20222,2.04761,1.90386,1.7702,1.64593,1.53039,1.42295,1.32306,1.23018,1.14382,1.06352,0.988859,0.91944,0.854894,0.79488,0.739078,0.687194,0.638952,0.594097,0.55239,0.513612,0.477556,0.444031,0.412859,0.383876,0.356927,0.331871,0.308573,0.286911,0.266769,0.248042,0.230629,0.214438,0.199385,0.185388,0.172373,0.160272,0.149021,0.13856,0.128832,0.119788,0.111379,0.10356,0.09629,0.0895303,0.0832452,0.0774013,1.02516
1906,8.16603,7.59276,7.05973,6.56412,6.1033,5.67483,5.27645,4.90603,4.56161,4.24138,3.94362,3.66677,3.40936,3.17002,2.94748,2.73966,2.54733,2.3685,2.20222,2.04762,1.90386,1.7702,1.64593,1.53038,1.42295,1.32306,1.23018,1.14382,1.06352,0.988858,0.919439,0.854893,0.794879,0.739077,0.687193,0.638951,0.594096,0.55239,0.513611,0.477555,0.44403,0.412859,0.383876,0.356927,0.33187,0.308573,0.28691,0.266769,0.248041,0.230629,0.214438,0.199384,0.185387,0.172373,0.160272,0.149021,0.138559,0.128832,0.119788,0.111379,0.10356,0.0962899,0.0895302,0.0832451,0.0774012,1.02516
1907,8.16604,7.59277,7.05973,6.56412,6.10331,5.67484,5.27645,4.90603,4.56161,4.24138,3.94362,3.66677,3.40936,3.17002,2.94748,2.74056,2.54733,2.3685,2.20222,2.04762,1.90387,1.77021,1.64593,1.53038,1.42295,1.32305,1.23017,1.14381,1.06352,0.988857,0.919438,0.854892,0.794878,0.739076,0.687192,0.638951,0.594095,0.552389,0.513611,0.477555,0.44403,0.412858,0.383875,0.356927,0.33187,0.308572,0.28691,0.266769,0.248041,0.230628,0.214438,0.199384,0.185387,0.172373,0.160272,0.149021,0.138559,0.128832,0.119788,0.111379,0.10356,0.0962898,0.0895301,0.083245,0.0774011,1.02516
1908,8.16605,7.59278,7.05974,6.56413,6.10331,5.67485,5.27646,4.90604,4.56162,4.24138,3.94362,3.66677,3.40936,3.17001,2.94747,2.74056,2.54817,2.3685,2.20222,2.04762,1.90387,1.77021,1.64593,1.53038,1.42295,1.32305,1.23017,1.14381,1.06352,0.988856,0.919437,0.854891,0.794877,0.739075,0.687191,0.63895,0.594095,0.552388,0.51361,0.477554,0.444029,0.412858,0.383875,0.356926,0.331869,0.308572,0.28691,0.266768,0.248041,0.230628,0.214438,0.199384,0.185387,0.172373,0.160272,0.14902,0.138559,0.128832,0.119788,0.111379,0.10356,0.0962897,0.08953,0.0832449,0.077401,1.02516
1909,8.16606,7.59279,7.05975,6.56414,6.10332,5.67485,5.27646,4.90604,4.56162,4.24138,3.94362,3.66677,3.40935,3.17001,2.94747,2.74055,2.54816,2.36928,2.20222,2.04762,1.90387,1.77022,1.64594,1.53039,1.42295,1.32305,1.23017,1.14381,1.06351,0.988854,0.919435,0.85489,0.794876,0.739074,0.68719,0.638949,0.594094,0.552388,0.513609,0.477553,0.444029,0.412857,0.383874,0.356926,0.331869,0.308571,0.286909,0.266768,0.24804,0.230628,0.214437,0.199384,0.185387,0.172372,0.160272,0.14902,0.138559,0.128832,0.119788,0.111378,0.10356,0.0962895,0.0895299,0.0832448,0.0774009,1.02516
